*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 279352791
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 28.61
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
   81 5.0055e-03 -5.2972e+00 6.1118e-16 -3.5031e+01
   82 4.7906e-03 -5.3411e+00 2.1321e-16 -3.6084e+01
   83 4.5773e-03 -5.3866e+00 7.3482e-17 -3.7149e+01
   84 4.3665e-03 -5.4338e+00 2.5024e-17 -3.8227e+01
   85 4.1589e-03 -5.4825e+00 0.0000e+00 -3.9316e+01
   86 3.9555e-03 -5.5326e+00 0.0000e+00 -4.0416e+01
   87 3.7571e-03 -5.5841e+00 0.0000e+00 -4.1529e+01
   88 3.5647e-03 -5.6367e+00 0.0000e+00 -4.2653e+01
   89 3.3792e-03 -5.6901e+00 0.0000e+00 -4.3788e+01
   90 3.2015e-03 -5.7441e+00 0.0000e+00 -4.4934e+01
   91 3.0328e-03 -5.7983e+00 0.0000e+00 -4.6091e+01
   92 2.8739e-03 -5.8521e+00 0.0000e+00 -4.7259e+01
   93 2.7259e-03 -5.9050e+00 0.0000e+00 -4.8438e+01
   94 2.5896e-03 -5.9563e+00 0.0000e+00 -4.9628e+01
   95 2.4656e-03 -6.0053e+00 0.0000e+00 -5.0828e+01
   96 2.3548e-03 -6.0513e+00 0.0000e+00 -5.2039e+01
   97 2.2574e-03 -6.0935e+00 0.0000e+00 -5.3260e+01
   98 2.1739e-03 -6.1312e+00 0.0000e+00 -5.4491e+01
   99 2.1043e-03 -6.1638e+00 0.0000e+00 -5.5733e+01
  100 2.0485e-03 -6.1907e+00 0.0000e+00 -5.6984e+01
  101 2.0063e-03 -6.2115e+00 0.0000e+00 -5.8246e+01
  102 1.9771e-03 -6.2261e+00 0.0000e+00 -5.9517e+01
  103 1.9605e-03 -6.2345e+00 0.0000e+00 -6.0798e+01
  104 1.9556e-03 -6.2370e+00 0.0000e+00 -6.2089e+01
  105 1.9616e-03 -6.2340e+00 0.0000e+00 -6.3390e+01
  106 1.9773e-03 -6.2260e+00 0.0000e+00 -6.4699e+01
  107 2.0017e-03 -6.2137e+00 0.0000e+00 -6.6019e+01
  108 2.0338e-03 -6.1979e+00 0.0000e+00 -6.7347e+01
  109 2.0723e-03 -6.1791e+00 0.0000e+00 -6.8685e+01
  110 2.1160e-03 -6.1582e+00 0.0000e+00 -7.0032e+01
  111 2.1638e-03 -6.1359e+00 0.0000e+00 -7.1388e+01
  112 2.2147e-03 -6.1126e+00 0.0000e+00 -7.2753e+01
  113 2.2675e-03 -6.0891e+00 0.0000e+00 -7.4126e+01
  114 2.3214e-03 -6.0656e+00 0.0000e+00 -7.5509e+01
  115 2.3754e-03 -6.0426e+00 0.0000e+00 -7.6900e+01
  116 2.4287e-03 -6.0204e+00 0.0000e+00 -7.8300e+01
  117 2.4808e-03 -5.9992e+00 0.0000e+00 -7.9709e+01
  118 2.5310e-03 -5.9791e+00 0.0000e+00 -8.1126e+01
  119 2.5789e-03 -5.9604e+00 0.0000e+00 -8.2551e+01
  120 2.6242e-03 -5.9430e+00 0.0000e+00 -8.3985e+01
  121 2.6665e-03 -5.9270e+00 0.0000e+00 -8.5427e+01
  122 2.7057e-03 -5.9124e+00 0.0000e+00 -8.6878e+01
  123 2.7418e-03 -5.8991e+00 0.0000e+00 -8.8336e+01
  124 2.7746e-03 -5.8872e+00 0.0000e+00 -8.9803e+01
  125 2.8043e-03 -5.8766e+00 0.0000e+00 -9.1278e+01
  126 2.8309e-03 -5.8672e+00 0.0000e+00 -9.2761e+01
  127 2.8545e-03 -5.8589e+00 0.0000e+00 -9.4251e+01
  128 2.8753e-03 -5.8516e+00 0.0000e+00 -9.5750e+01
  129 2.8933e-03 -5.8453e+00 0.0000e+00 -9.7256e+01
  130 2.9088e-03 -5.8400e+00 0.0000e+00 -9.8770e+01
  131 2.9219e-03 -5.8355e+00 0.0000e+00 -1.0029e+02
  132 2.9327e-03 -5.8318e+00 0.0000e+00 -1.0182e+02
  133 2.9414e-03 -5.8289e+00 0.0000e+00 -1.0336e+02
  134 2.9479e-03 -5.8267e+00 0.0000e+00 -1.0490e+02
  135 2.9524e-03 -5.8251e+00 0.0000e+00 -1.0645e+02
  136 2.9548e-03 -5.8243e+00 0.0000e+00 -1.0801e+02
  137 2.9553e-03 -5.8242e+00 0.0000e+00 -1.0958e+02
  138 2.9537e-03 -5.8247e+00 0.0000e+00 -1.1115e+02
  139 2.9500e-03 -5.8260e+00 0.0000e+00 -1.1273e+02
  140 2.9441e-03 -5.8280e+00 0.0000e+00 -1.1432e+02
  141 2.9359e-03 -5.8307e+00 0.0000e+00 -1.1592e+02
  142 2.9253e-03 -5.8344e+00 0.0000e+00 -1.1752e+02
  143 2.9122e-03 -5.8388e+00 0.0000e+00 -1.1913e+02
  144 2.8965e-03 -5.8442e+00 0.0000e+00 -1.2074e+02
  145 2.8781e-03 -5.8506e+00 0.0000e+00 -1.2237e+02
  146 2.8567e-03 -5.8581e+00 0.0000e+00 -1.2400e+02
  147 2.8324e-03 -5.8666e+00 0.0000e+00 -1.2563e+02
  148 2.8050e-03 -5.8764e+00 0.0000e+00 -1.2728e+02
  149 2.7744e-03 -5.8873e+00 0.0000e+00 -1.2893e+02
  150 2.7406e-03 -5.8996e+00 0.0000e+00 -1.3058e+02
  151 2.7036e-03 -5.9132e+00 0.0000e+00 -1.3225e+02
