.........*.........*.........*.........*.........* 4882800
.........*.........*.........*.........*.........* 9765600
*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 38751330
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 3.97
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
   80 4.9764e-08 -1.6816e+01 0.0000e+00 -1.6738e+02
   81 3.1276e-08 -1.7280e+01 0.0000e+00 -1.7039e+02
   82 1.9509e-08 -1.7752e+01 0.0000e+00 -1.7342e+02
   83 1.2077e-08 -1.8232e+01 0.0000e+00 -1.7646e+02
   84 7.4213e-09 -1.8719e+01 0.0000e+00 -1.7952e+02
   85 4.5263e-09 -1.9213e+01 0.0000e+00 -1.8258e+02
   86 2.7403e-09 -1.9715e+01 0.0000e+00 -1.8566e+02
   87 1.6468e-09 -2.0224e+01 0.0000e+00 -1.8874e+02
   88 9.8236e-10 -2.0741e+01 0.0000e+00 -1.9184e+02
   89 5.8173e-10 -2.1265e+01 0.0000e+00 -1.9495e+02
   90 3.4197e-10 -2.1796e+01 0.0000e+00 -1.9807e+02
   91 1.9956e-10 -2.2335e+01 0.0000e+00 -2.0121e+02
   92 1.1561e-10 -2.2881e+01 0.0000e+00 -2.0435e+02
   93 6.6489e-11 -2.3434e+01 0.0000e+00 -2.0750e+02
   94 3.7962e-11 -2.3994e+01 0.0000e+00 -2.1067e+02
   95 2.1517e-11 -2.4562e+01 0.0000e+00 -2.1385e+02
   96 1.2108e-11 -2.5137e+01 0.0000e+00 -2.1703e+02
   97 6.7639e-12 -2.5719e+01 0.0000e+00 -2.2023e+02
   98 3.7512e-12 -2.6309e+01 0.0000e+00 -2.2343e+02
   99 2.0654e-12 -2.6906e+01 0.0000e+00 -2.2665e+02

Total probability: 1.00000
